#OTU_num,Kingdom,Phylum,Class,Order,Family,Genus,Species,Unassigned
ASV4702,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,LWQ8,,,False
ASV4703,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocystis,,False
ASV4704,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,,False
ASV4705,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Kingella,,False
ASV4706,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,,False
ASV4707,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_NK4A136_group,,False
ASV4708,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,,,False
ASV4709,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,,False
ASV4710,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,Anaerosporomusa,,False
ASV4711,Bacteria,Patescibacteria,Dojkabacteria,unidentified_Dojkabacteria,unidentified_Dojkabacteria,unidentified_Dojkabacteria,candidate_division_WS6_bacterium_GW2011_GWE2_33_157,False
ASV4712,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,,False
ASV4713,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Zoogloea,,False
ASV4714,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,False
ASV4715,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,PMMR1,,False
ASV4716,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_sp_PP-1,False
ASV4717,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus,,False
ASV4718,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,,,,False
ASV4719,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,,,False
ASV4720,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,,False
ASV4721,Bacteria,Firmicutes,Clostridia,Clostridia_UCG-014,,,,False
ASV4722,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,,False
ASV4723,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,,,False
ASV4724,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas,,False
ASV4725,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,False
ASV4726,Bacteria,Spirochaetota,V2072-189E03,,,,,False
ASV4727,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,,False
ASV4728,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Dialister,,False
ASV4729,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,unidentified_Chloroplast,unidentified_Chloroplast,Neochloris_aquatica,False
ASV4730,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Treponema_maltophilum,False
ASV4733,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Centipeda,,False
ASV4734,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus,,False
ASV4735,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,,,False
ASV4736,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,,False
ASV4737,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,,,False
ASV4738,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Coprococcus,Coprococcus_catus,False
ASV4739,Bacteria,Firmicutes,Clostridia,Oscillospirales,UCG-010,,,False
ASV4740,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Lacunisphaera,,False
ASV4741,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosomonas,,False
ASV4742,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family_XIII_AD3011_group,,False
ASV4743,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,unidentified_Peptostreptococcales-Tissierellales,JTB215,bacterium_str._77003,False
ASV4744,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Lacunisphaera,,False
ASV4745,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,,False
ASV4746,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Shuttleworthia,,False
ASV4747,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,,False
ASV4748,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,,False
ASV4749,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Erysipelatoclostridium,bacterium_ic1391,False
ASV4750,Bacteria,,,,,,,False
ASV4751,Bacteria,Patescibacteria,Dojkabacteria,,,,,False
ASV4752,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,bacterium_CYCU-0215,False
ASV4753,Bacteria,Firmicutes,Clostridia,Clostridia_UCG-014,,,,False
ASV4754,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_eggerthii,False
ASV4755,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Mitsuokella,,False
ASV4756,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,,,,False
ASV4757,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus_Megaira,,False
ASV4758,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-002,,False
ASV4759,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,False
ASV4760,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,,,False
ASV4761,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium]_hallii_group,,False
ASV4763,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,,False
ASV4764,Bacteria,,,,,,,False
ASV4765,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,,False
ASV4766,Bacteria,,,,,,,False
ASV4767,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,False
ASV4768,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group,,False
ASV4769,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,,False
ASV4772,Bacteria,,,,,,,False
ASV4773,Bacteria,,,,,,,False
ASV4775,Bacteria,,,,,,,False
ASV4779,Bacteria,,,,,,,False
ASV4780,Bacteria,,,,,,,False
ASV4781,Bacteria,,,,,,,False
ASV4782,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Novispirillum,,False
ASV4783,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Campbellbacteria,,,,False
ASV4784,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,dgA-11_gut_group,,False
ASV4785,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurospirillaceae,Sulfurospirillum,,False
ASV4786,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,,,False
ASV4787,Bacteria,Proteobacteria,Gammaproteobacteria,Competibacterales,Competibacteraceae,Candidatus_Competibacter,,False
ASV4788,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Zoogloea,,False
ASV4789,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,,False
ASV4790,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Sellimonas,,False
ASV4791,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,,False
ASV4792,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,unidentified_Ruminococcaceae,Ruminococcus_sp_YE281,False
ASV4793,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,,,False
ASV4794,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,,,False
ASV4795,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,,False
ASV4796,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,,False
ASV4797,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,,,False
ASV4798,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,,,False
ASV4799,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,,False
ASV4800,Bacteria,Firmicutes,,,,,,False
ASV4801,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,,,,False
ASV4802,Bacteria,Firmicutes,Clostridia,,,,,False
ASV4803,Bacteria,Firmicutes,Clostridia,Oscillospirales,UCG-010,,,False
ASV4804,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Nomurabacteria,unidentified_Candidatus_Nomurabacteria,unidentified_Candidatus_Nomurabacteria,,False
ASV4805,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,LWQ8,,,False
ASV4806,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,,False
ASV4807,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,,False
ASV4808,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Bilophila,,False
ASV4809,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propioniciclava,,False
ASV4810,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,,False
ASV4811,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechlorobacter,,False
ASV4812,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,,,False
